# Copyright (C) 2022 Morse Micro Pty Ltd. All rights reserved.
# COUNTRY,BW,CH,S1G_OP_CLASS,GLOBAL_OP_CLASS,FREQ_CENTER_MHZ,DUTY_CYCLE_AP,DUTY_CYCLE_STA
AU,1,27,22,68,915.5,100,100
AU,1,29,22,68,916.5,100,100
AU,1,31,22,68,917.5,100,100
AU,1,33,22,68,918.5,100,100
AU,1,35,22,68,919.5,100,100
AU,1,37,22,68,920.5,100,100
AU,1,39,22,68,921.5,100,100
AU,1,41,22,68,922.5,100,100
AU,1,43,22,68,923.5,100,100
AU,1,45,22,68,924.5,100,100
AU,1,47,22,68,925.5,100,100
AU,1,49,22,68,926.5,100,100
AU,1,51,22,68,927.5,100,100
AU,2,30,23,69,917,100,100
AU,2,34,23,69,919,100,100
AU,2,38,23,69,921,100,100
AU,2,42,23,69,923,100,100
AU,2,46,23,69,925,100,100
AU,2,50,23,69,927,100,100
AU,4,32,24,70,918,100,100
AU,4,40,24,70,922,100,100
AU,4,48,24,70,926,100,100
AU,8,44,25,71,924,100,100
# EU regulatory requirements limit duty cycle for AP and STA to 10% and 2.8% respectively.
# The 27 EU countries are:
#    Austria (AT), Belgium (BE), Bulgaria (BG), Croatia (HR), Republic of Cyprus (CY)
#    Czech Republic (CZ), Denmark (DK), Estonia (EE), Finland (FI), France (FR), Germany (DE),
#    Greece (GR), Hungary (HU), Ireland (IE), Italy (IT), Latvia (LV), Lithuania (LT),
#    Luxembourg (LU), Malta (MT), Netherlands (NL), Poland (PL), Portugal (PT), Romania (RO),
#    Slovakia (SK), Slovenia (SI), Spain (ES) and Sweden (SE).
EU,1,1,6,66,863.5,10,2.8
EU,1,3,6,66,864.5,10,2.8
EU,1,5,6,66,865.5,10,2.8
EU,1,7,6,66,866.5,10,2.8
EU,1,9,6,66,867.5,10,2.8
# See SW-5174: These bands are disabled for now as EU only supports operating class 6
# EU,1,31,30,77,916.9,10,2.8
# EU,1,33,30,77,917.9,10,2.8
# EU,1,35,30,77,918.9,10,2.8
# India regulatory requirements limit duty cycle the same as EU.
IN,1,5,0,66,865.5,10,2.8
IN,1,7,0,66,866.5,10,2.8
IN,1,9,0,66,867.5,10,2.8
# Japan has specific regulations limiting transmissions.
# Duty cycle: 0.1%
# Pause after transmission: 100 ms for tx  time <= 100 ms, 50 ms for tx time <= 50 ms
# Aimed at technologies without listen-before-talk (LoRaWAN, Sigfox, ...)
# Duty cycle: 10% + LBT (Listen: 128 us) / No limit (Listen: 5 ms)
# Pause after transmission: 0 ms for tx time <= 2 ms, 2 ms for 2 ms < tx time <= 100 ms
# See SW-5878: These channels are not to be used. Reserved for passive RFID with a 0.1% duty cycle
#JP,1,1,8,73,917,0.1,0.1
#JP,1,3,8,73,918,0.1,0.1
#JP,1,5,8,73,919,0.1,0.1
#JP,1,7,8,73,920,0.1,0.1
#JP,1,9,8,73,921,10,10
JP,1,11,8,73,922,10,10
JP,1,13,8,73,923,10,10
JP,1,15,8,73,924,10,10
JP,1,17,8,73,925,10,10
JP,1,19,8,73,926,10,10
JP,1,21,8,73,927,10,10
KR,1,1,14,74,918,100,100
KR,1,3,14,74,919,100,100
KR,1,5,14,74,920,100,100
KR,1,7,14,74,921,100,100
KR,1,9,14,74,922,100,100
KR,1,11,14,74,923,100,100
KR,2,2,15,75,918.5,100,100
KR,2,6,15,75,920.5,100,100
KR,2,10,15,75,922.5,100,100
KR,4,8,16,76,921.5,100,100
NZ,1,27,26,68,915.5,100,100
NZ,1,29,26,68,916.5,100,100
NZ,1,31,26,68,917.5,100,100
NZ,1,33,26,68,918.5,100,100
NZ,1,35,26,68,919.5,100,100
NZ,1,37,26,68,920.5,100,100
NZ,1,39,26,68,921.5,100,100
NZ,1,41,26,68,922.5,100,100
NZ,1,43,26,68,923.5,100,100
NZ,1,45,26,68,924.5,100,100
